XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
898.826141,0.000619
900.754953,0.000237
902.683764,-0.000006
904.612576,-0.000007
906.541387,-0.000207
908.470199,-0.000075
910.399010,0.000012
912.327822,0.000195
914.256633,0.000391
916.185445,-0.000025
918.114256,-0.000217
920.043068,-0.000229
921.971879,-0.000358
923.900690,-0.000046
925.829502,0.000150
927.758313,-0.000300
929.687125,-0.000649
931.615936,0.000024
933.544748,0.000730
935.473559,0.000173
937.402371,-0.000559
939.331182,-0.000581
941.259994,-0.000346
943.188805,-0.000360
945.117617,-0.000679
947.046428,-0.000666
948.975240,-0.000345
950.904051,-0.000099
952.832862,0.000143
954.761674,0.000082
956.690485,-0.000195
958.619297,-0.000303
960.548108,-0.000409
962.476920,-0.000412
964.405731,-0.000202
966.334543,-0.000094
968.263354,-0.000150
970.192166,-0.000195
972.120977,-0.000159
974.049789,-0.000114
975.978600,-0.000029
977.907411,0.000039
979.836223,-0.000054
981.765034,-0.000153
983.693846,-0.000272
985.622657,-0.000343
987.551469,-0.000189
989.480280,-0.000091
991.409092,-0.000132
993.337903,-0.000108
995.266715,-0.000056
997.195526,-0.000129
999.124338,-0.000163
1001.053149,0.000009
1002.981960,0.000003
1004.910772,-0.000178
1006.839583,-0.000175
1008.768395,-0.000124
1010.697206,-0.000137
1012.626018,-0.000184
1014.554829,-0.000229
1016.483641,-0.000265
1018.412452,-0.000321
1020.341264,-0.000300
1022.270075,-0.000259
1024.198887,-0.000274
1026.127698,-0.000297
1028.056509,-0.000327
1029.985321,-0.000269
1031.914132,-0.000114
1033.842944,-0.000024
1035.771755,-0.000075
1037.700567,-0.000172
1039.629378,-0.000184
1041.558190,-0.000134
1043.487001,-0.000117
1045.415813,-0.000097
1047.344624,-0.000017
1049.273436,0.000021
1051.202247,-0.000053
1053.131058,-0.000103
1055.059870,-0.000012
1056.988681,0.000106
1058.917493,0.000092
1060.846304,0.000008
1062.775116,-0.000011
1064.703927,0.000001
1066.632739,-0.000026
1068.561550,-0.000069
1070.490362,-0.000070
1072.419173,-0.000021
1074.347985,0.000037
1076.276796,0.000089
1078.205607,0.000076
1080.134419,-0.000004
1082.063230,0.000014
1083.992042,0.000076
1085.920853,0.000007
1087.849665,-0.000066
1089.778476,-0.000057
1091.707288,-0.000049
1093.636099,-0.000069
1095.564911,-0.000105
1097.493722,-0.000157
1099.422534,-0.000213
1101.351345,-0.000190
1103.280156,-0.000115
1105.208968,-0.000066
1107.137779,-0.000011
1109.066591,0.000018
1110.995402,0.000013
1112.924214,-0.000003
1114.853025,-0.000093
1116.781837,-0.000147
1118.710648,-0.000109
1120.639460,-0.000124
1122.568271,-0.000127
1124.497083,-0.000081
1126.425894,-0.000105
1128.354706,-0.000118
1130.283517,-0.000073
1132.212328,-0.000090
1134.141140,-0.000170
1136.069951,-0.000186
1137.998763,-0.000108
1139.927574,-0.000048
1141.856386,-0.000065
1143.785197,-0.000095
1145.714009,-0.000056
1147.642820,0.000041
1149.571632,0.000075
1151.500443,0.000011
1153.429255,0.000001
1155.358066,0.000065
1157.286877,0.000088
1159.215689,0.000074
1161.144500,0.000069
1163.073312,0.000063
1165.002123,0.000070
1166.930935,0.000147
1168.859746,0.000219
1170.788558,0.000191
1172.717369,0.000161
1174.646181,0.000153
1176.574992,0.000133
1178.503804,0.000158
1180.432615,0.000182
1182.361426,0.000149
1184.290238,0.000150
1186.219049,0.000197
1188.147861,0.000203
1190.076672,0.000241
1192.005484,0.000341
1193.934295,0.000365
1195.863107,0.000325
1197.791918,0.000311
1199.720730,0.000298
1201.649541,0.000321
1203.578353,0.000351
1205.507164,0.000369
1207.435975,0.000401
1209.364787,0.000420
1211.293598,0.000508
1213.222410,0.000622
1215.151221,0.000748
1217.080033,0.000931
1219.008844,0.001097
1220.937656,0.001416
1222.866467,0.001722
1224.795279,0.001923
1226.724090,0.002422
1228.652902,0.002988
1230.581713,0.003560
1232.510524,0.004470
1234.439336,0.005443
1236.368147,0.006543
1238.296959,0.008036
1240.225770,0.009604
1242.154582,0.011564
1244.083393,0.014160
1246.012205,0.016941
1247.941016,0.019948
1249.869828,0.022836
1251.798639,0.024879
1253.727451,0.025050
1255.656262,0.023548
1257.585073,0.022462
1259.513885,0.022909
1261.442696,0.026143
1263.371508,0.028850
1265.300319,0.025901
1267.229131,0.023045
1269.157942,0.024706
1271.086754,0.026148
1273.015565,0.025056
1274.944377,0.022247
1276.873188,0.018771
1278.802000,0.015816
1280.730811,0.013496
1282.659622,0.011410
1284.588434,0.009456
1286.517245,0.007849
1288.446057,0.006336
1290.374868,0.005021
1292.303680,0.004096
1294.232491,0.003161
1296.161303,0.002402
1298.090114,0.001862
1300.018926,0.001367
1301.947737,0.001049
1303.876549,0.000718
1305.805360,0.000376
1307.734172,0.000293
1309.662983,0.000259
1311.591794,0.000082
1313.520606,-0.000018
1315.449417,-0.000165
1317.378229,-0.000295
1319.307040,-0.000205
1321.235852,0.000030
1323.164663,-0.000022
1325.093475,-0.000216
1327.022286,0.000072
1328.951098,0.000473
1330.879909,0.000503
1332.808721,0.000423
1334.737532,0.000243
1336.666343,-0.000050
1338.595155,-0.000286
1340.523966,-0.000270
1342.452778,0.000051
1344.381589,0.000374
1346.310401,0.000542
1348.239212,0.000612
1350.168024,0.000611
1352.096835,0.000550
1354.025647,0.000503
1355.954458,0.000553
1357.883270,0.000550
1359.812081,0.000184
1361.740892,-0.000404
1363.669704,-0.000434
1365.598515,-0.000051
1367.527327,0.000034
1369.456138,-0.000054
1371.384950,-0.000109
1373.313761,-0.000343
1375.242573,-0.000228
1377.171384,0.000131
1379.100196,0.000223
1381.029007,0.000243
1382.957819,0.000274
1384.886630,0.000115
1386.815441,-0.000069
1388.744253,0.000271
1390.673064,0.000673
1392.601876,0.000286
1394.530687,-0.000161
1396.459499,-0.000063
1398.388310,-0.000017
1400.317122,0.000307
1402.245933,0.000696
1404.174745,0.000528
1406.103556,0.000476
1408.032368,0.000708
1409.961179,0.000796
1411.889990,0.000730
1413.818802,0.000645
1415.747613,0.000335
1417.676425,-0.000645
1419.605236,-0.000978
1421.534048,-0.000109
1423.462859,0.000253
1425.391671,0.000302
1427.320482,0.000370
1429.249294,0.000093
1431.178105,0.000195
1433.106917,0.000336
1435.035728,-0.000560
1436.964539,-0.001048
1438.893351,-0.000059
1440.822162,0.000512
1442.750974,0.000526
1444.679785,0.000410
1446.608597,-0.000046
1448.537408,-0.000150
1450.466220,0.000090
1452.395031,-0.000032
1454.323843,-0.001043
1456.252654,-0.002805
1458.181466,-0.002478
1460.110277,-0.000487
1462.039089,0.000075
1463.967900,-0.000524
1465.896711,-0.000394
1467.825523,0.000267
1469.754334,-0.000297
1471.683146,-0.001680
1473.611957,-0.001774
1475.540769,-0.000877
1477.469580,-0.000042
1479.398392,0.000423
1481.327203,0.000469
1483.256015,0.000501
1485.184826,0.000257
1487.113638,-0.000490
1489.042449,-0.001063
1490.971260,-0.000494
1492.900072,0.000438
1494.828883,0.000128
1496.757695,-0.000546
1498.686506,-0.000089
1500.615318,0.000767
1502.544129,0.000960
1504.472941,-0.000730
1506.401752,-0.002829
1508.330564,-0.001489
1510.259375,0.000305
1512.188187,0.000977
1514.116998,0.000906
1516.045809,0.000201
1517.974621,-0.000082
1519.903432,-0.000478
1521.832244,-0.000794
1523.761055,0.000158
1525.689867,0.000849
1527.618678,0.001374
1529.547490,0.002083
1531.476301,0.001701
1533.405113,0.001104
1535.333924,0.001780
1537.262736,0.001288
1539.191547,-0.000980
1541.120358,-0.000876
1543.049170,0.000972
1544.977981,0.002434
1546.906793,0.003638
1548.835604,0.004144
1550.764416,0.004555
1552.693227,0.004829
1554.622039,0.005024
1556.550850,0.004607
1558.479662,0.004178
1560.408473,0.008682
1562.337285,0.014183
1564.266096,0.018254
1566.194907,0.022925
1568.123719,0.028097
1570.052530,0.035772
1571.981342,0.046166
1573.910153,0.056239
1575.838965,0.069942
1577.767776,0.088896
1579.696588,0.108729
1581.625399,0.130821
1583.554211,0.155333
1585.483022,0.182104
1587.411834,0.211056
1589.340645,0.241800
1591.269456,0.273309
1593.198268,0.301354
1595.127079,0.322997
1597.055891,0.336543
1598.984702,0.343137
1600.913514,0.341754
1602.842325,0.334023
1604.771137,0.324094
1606.699948,0.309253
1608.628760,0.290077
1610.557571,0.263809
1612.486383,0.234498
1614.415194,0.203163
1616.344005,0.173557
1618.272817,0.198637
1620.201628,0.278641
1622.130440,0.363114
1624.059251,0.423273
1625.988063,0.457153
1627.916874,0.472189
1629.845686,0.464957
1631.774497,0.433190
1633.703309,0.386360
1635.632120,0.323994
1637.560932,0.266044
1639.489743,0.218984
1641.418555,0.168965
1643.347366,0.124127
1645.276177,0.087606
1647.204989,0.055217
1649.133800,0.034772
1651.062612,0.020832
1652.991423,0.007902
1654.920235,0.004230
1656.849046,0.004496
1658.777858,0.003294
1660.706669,0.001754
1662.635481,0.000609
1664.564292,0.000552
1666.493104,0.000558
1668.421915,-0.000611
1670.350726,-0.000491
1672.279538,0.000565
1674.208349,0.000792
1676.137161,0.001731
1678.065972,0.003422
1679.994784,0.004109
1681.923595,0.003367
1683.852407,0.002260
1685.781218,0.003075
1687.710030,0.003991
1689.638841,0.003176
1691.567653,0.002117
1693.496464,-0.000083
1695.425275,-0.001158
1697.354087,0.003239
1699.282898,0.003776
1701.211710,-0.001433
1703.140521,-0.002014
1705.069333,0.000233
1706.998144,0.003154
1708.926956,0.006052
1710.855767,0.007345
1712.784579,0.007652
1714.713390,0.007188
1716.642202,0.005974
1718.571013,0.005892
1720.499824,0.006772
1722.428636,0.006860
1724.357447,0.006624
1726.286259,0.006825
1728.215070,0.007012
1730.143882,0.007461
1732.072693,0.007600
1734.001505,0.008422
1735.930316,0.011672
1737.859128,0.014062
1739.787939,0.015179
1741.716751,0.016460
1743.645562,0.017203
1745.574373,0.017002
1747.503185,0.016321
1749.431996,0.015569
1751.360808,0.015800
1753.289619,0.016852
1755.218431,0.017054
1757.147242,0.016559
1759.076054,0.015601
1761.004865,0.013162
1762.933677,0.010391
1764.862488,0.008236
1766.791300,0.005537
1768.720111,0.003003
1770.648922,0.000960
1772.577734,-0.000452
1774.506545,-0.000232
1776.435357,0.000166
1778.364168,0.000032
1780.292980,-0.000032
1782.221791,0.000272
1784.150603,0.000669
1786.079414,0.001124
1788.008226,0.001511
1789.937037,0.000927
1791.865849,-0.000062
1793.794660,0.000110
1795.723471,0.000704
1797.652283,0.000712
1799.581094,0.000269
1801.509906,0.000216
1803.438717,0.000964
1805.367529,0.001713
1807.296340,0.001978
1809.225152,0.001896
1811.153963,0.001875
1813.082775,0.002121
1815.011586,0.002239
1816.940398,0.002195
1818.869209,0.002246
1820.798021,0.002365
1822.726832,0.002262
1824.655643,0.002134
1826.584455,0.002355
1828.513266,0.002359
1830.442078,0.002485
1832.370889,0.003292
1834.299701,0.003882
1836.228512,0.004151
1838.157324,0.004501
1840.086135,0.004698
1842.014947,0.004471
1843.943758,0.004176
1845.872570,0.004542
1847.801381,0.005050
1849.730192,0.005236
1851.659004,0.005338
1853.587815,0.005298
1855.516627,0.005100
1857.445438,0.004801
1859.374250,0.004497
1861.303061,0.004083
1863.231873,0.003534
1865.160684,0.002788
1867.089496,0.001595
1869.018307,0.000708
1870.947119,0.000524
1872.875930,0.001597
1874.804741,0.003474
1876.733553,0.002739
1878.662364,0.000634
1880.591176,0.000802
1882.519987,0.001890
1884.448799,0.002778
1886.377610,0.003711
1888.306422,0.004374
1890.235233,0.005220
1892.164045,0.006108
1894.092856,0.006701
1896.021668,0.007234
1897.950479,0.007723
1899.879290,0.008064
1901.808102,0.008204
1903.736913,0.008238
1905.665725,0.008177
1907.594536,0.007927
1909.523348,0.007638
1911.452159,0.007408
1913.380971,0.007101
1915.309782,0.006460
1917.238594,0.005605
1919.167405,0.005209
1921.096217,0.005039
1923.025028,0.004602
1924.953839,0.004231
1926.882651,0.003866
1928.811462,0.003389
1930.740274,0.002958
1932.669085,0.002532
1934.597897,0.002138
1936.526708,0.001774
1938.455520,0.001428
1940.384331,0.001011
1942.313143,0.000624
1944.241954,0.000528
1946.170766,0.000535
1948.099577,0.000481
1950.028388,0.000401
1951.957200,0.000336
1953.886011,0.000265
1955.814823,0.000192
1957.743634,0.000192
1959.672446,0.000213
1961.601257,0.000192
1963.530069,0.000119
1965.458880,-0.000019
1967.387692,-0.000061
1969.316503,-0.000004
1971.245315,0.000008
1973.174126,0.000031
1975.102938,0.000066
1977.031749,0.000056
1978.960560,0.000060
1980.889372,0.000087
1982.818183,0.000091
1984.746995,0.000073
1986.675806,0.000070
1988.604618,0.000031
1990.533429,-0.000113
1992.462241,-0.000162
1994.391052,-0.000037
1996.319864,0.000030
1998.248675,0.000048
2000.177487,0.000091
2002.106298,0.000093
2004.035109,0.000073
2005.963921,0.000029
2007.892732,0.000003
2009.821544,0.000046
2011.750355,0.000089
2013.679167,0.000070
2015.607978,-0.000036
2017.536790,-0.000084
2019.465601,0.000010
2021.394413,0.000044
2023.323224,0.000013
2025.252036,0.000046
2027.180847,0.000082
2029.109658,0.000074
2031.038470,0.000027
2032.967281,-0.000031
2034.896093,-0.000055
2036.824904,-0.000062
2038.753716,-0.000056
2040.682527,-0.000033
2042.611339,-0.000015
2044.540150,0.000003
2046.468962,0.000007
2048.397773,0.000005
2050.326585,0.000009
2052.255396,0.000000
2054.184207,-0.000040
2056.113019,-0.000077
2058.041830,-0.000068
2059.970642,-0.000057
2061.899453,-0.000069
2063.828265,-0.000093
2065.757076,-0.000134
2067.685888,-0.000136
2069.614699,-0.000076
2071.543511,-0.000035
2073.472322,-0.000065
2075.401134,-0.000088
2077.329945,-0.000068
2079.258756,-0.000064
2081.187568,-0.000076
2083.116379,-0.000090
2085.045191,-0.000071
2086.974002,-0.000037
2088.902814,-0.000030
2090.831625,-0.000013
2092.760437,-0.000027
2094.689248,-0.000057
2096.618060,-0.000030
2098.546871,-0.000021
2100.475683,-0.000031
2102.404494,-0.000007
2104.333305,-0.000002
2106.262117,0.000010
2108.190928,0.000049
2110.119740,0.000036
2112.048551,-0.000002
2113.977363,-0.000017
2115.906174,-0.000040
2117.834986,-0.000034
2119.763797,0.000032
2121.692609,0.000060
2123.621420,0.000013
2125.550232,-0.000047
2127.479043,-0.000110
2129.407854,-0.000131
2131.336666,-0.000107
2133.265477,-0.000121
2135.194289,-0.000143
2137.123100,-0.000135
2139.051912,-0.000178
2140.980723,-0.000282
2142.909535,-0.000344
2144.838346,-0.000335
2146.767158,-0.000291
2148.695969,-0.000217
2150.624781,-0.000172
2152.553592,-0.000156
2154.482404,-0.000088
2156.411215,-0.000019
2158.340026,-0.000011
2160.268838,-0.000038
2162.197649,-0.000046
2164.126461,0.000003
2166.055272,0.000045
2167.984084,0.000028
2169.912895,0.000022
2171.841707,0.000074
2173.770518,0.000123
2175.699330,0.000133
2177.628141,0.000162
2179.556953,0.000231
2181.485764,0.000261
2183.414575,0.000259
2185.343387,0.000287
2187.272198,0.000335
2189.201010,0.000417
2191.129821,0.000527
2193.058633,0.000651
2194.987444,0.000782
2196.916256,0.000884
2198.845067,0.000976
2200.773879,0.001085
2202.702690,0.001179
2204.631502,0.001224
2206.560313,0.001257
2208.489124,0.001306
2210.417936,0.001358
2212.346747,0.001421
2214.275559,0.001394
2216.204370,0.001224
2218.133182,0.000983
2220.061993,0.000668
2221.990805,0.000361
2223.919616,0.000302
2225.848428,0.000548
2227.777239,0.000902
2229.706051,0.001272
2231.634862,0.001667
2233.563673,0.001926
2235.492485,0.001988
2237.421296,0.001966
2239.350108,0.001868
2241.278919,0.001700
2243.207731,0.001479
2245.136542,0.001200
2247.065354,0.000904
2248.994165,0.000617
2250.922977,0.000367
2252.851788,0.000179
2254.780600,0.000030
2256.709411,-0.000062
2258.638222,-0.000116
2260.567034,-0.000201
2262.495845,-0.000286
2264.424657,-0.000320
2266.353468,-0.000329
2268.282280,-0.000337
2270.211091,-0.000326
2272.139903,-0.000300
2274.068714,-0.000287
2275.997526,-0.000229
2277.926337,-0.000122
2279.855149,-0.000094
2281.783960,-0.000132
2283.712771,-0.000166
2285.641583,-0.000226
2287.570394,-0.000296
2289.499206,-0.000361
2291.428017,-0.000443
2293.356829,-0.000546
2295.285640,-0.000619
2297.214452,-0.000628
2299.143263,-0.000708
2301.072075,-0.000534
2303.000886,-0.000290
2304.929698,-0.000048
2306.858509,0.000109
2308.787320,0.000217
2310.716132,0.000253
2312.644943,0.000260
2314.573755,0.000298
2316.502566,0.000318
2318.431378,0.000216
2320.360189,0.000026
2322.289001,-0.000077
2324.217812,-0.000055
2326.146624,0.000026
2328.075435,0.000075
2330.004247,-0.000019
2331.933058,0.000000
2333.861870,0.000039
2335.790681,0.000057
2337.719492,0.000229
2339.648304,0.000433
