0.0, 46.836171874999998
1.0, 155.39109375000001
10.0, 2817.8810937499998
11.0, 3138.6574609374998
12.0, 3113.1980078125002
13.0, 3248.9446093749989
14.0, 3340.6061718750011
15.0, 3451.8998828125004
16.0, 3495.2248437500002
18.0, 3631.5817968749998
2.0, 541.22093749999999
20.0, 3919.2582812500004
22.0, 3545.7131250000002
24.0, 3179.2436328125
26.0, 3027.177265625
28.0, 2493.4470312500002
3.0, 924.62378906250001
30.0, 2452.372578125
4.0, 1301.7378125
5.0, 1661.5134375
6.0, 1978.446796875
8.0, 2504.4966015625
