0.0, 124.6137890625
1.0, 722.37328124999999
10.0, 5955.2590234375002
11.0, 6306.2311718750007
12.5, 6795.8107812500002
14.0, 7262.4855859375002
15.0, 7497.0014843749996
16.0, 7328.9018359375004
17.0, 7109.6579687499998
18.0, 6917.2751562499998
19.0, 6709.9465234375002
2.0, 1641.5915625
20.0, 6489.3998828125004
21.0, 6325.3706249999996
22.0, 6253.6521093749998
23.0, 6103.3103124999998
24.0, 5977.6023046874998
25.0, 5844.2094531250004
3.0, 2495.674296875
4.0, 3234.8921093749996
5.0, 3805.6352343750004
6.0, 4335.6545312500002
7.0, 4832.0600781249996
8.0, 5191.4839062499996
9.0, 5570.1704296874996
