0.0, 3.5932812499999995
0.5, 27.011953124999998
1.0, 17.958749999999998
1.5, 30.448750000000004
10.0, 457.61277343749998
11.0, 507.67601562499999
12.0, 595.60105468749998
13.0, 645.40015625000001
14.0, 657.57277343750002
15.0, 709.99093749999997
2.0, 23.921367187499996
2.5, 50.864492187499998
20.0, 1082.2798046875
25.0, 1063.154765625
3.0, 74.735859375000004
3.5, 87.319101562499995
30.0, 1880.2834375
35.0, 1552.763203125
36.0, 1828.0617578125
4.0, 122.529765625
40.0, 2488.1247656250002
5.0, 191.42066406250001
6.0, 201.97195312499994
7.0, 268.86765625000004
8.0, 384.38500000000005
9.0, 362.87179687500009
