XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
898.826141,0.002651
900.754953,0.001125
902.683764,0.000395
904.612576,-0.000269
906.541387,0.000187
908.470199,0.000662
910.399010,0.000488
912.327822,0.000121
914.256633,-0.000233
916.185445,-0.000103
918.114256,-0.000125
920.043068,-0.000248
921.971879,0.000124
923.900690,0.000326
925.829502,0.000308
927.758313,0.000546
929.687125,0.000559
931.615936,0.000398
933.544748,0.000125
935.473559,0.000089
937.402371,-0.000150
939.331182,-0.000316
941.259994,-0.000077
943.188805,0.000030
945.117617,0.000151
947.046428,0.000289
948.975240,0.000186
950.904051,0.000061
952.832862,0.000026
954.761674,0.000170
956.690485,0.000344
958.619297,0.000169
960.548108,-0.000137
962.476920,-0.000103
964.405731,0.000006
966.334543,-0.000142
968.263354,-0.000392
970.192166,-0.000353
972.120977,0.000125
974.049789,0.000233
975.978600,-0.000043
977.907411,0.000074
979.836223,0.000020
981.765034,-0.000299
983.693846,-0.000250
985.622657,-0.000176
987.551469,-0.000196
989.480280,-0.000065
991.409092,0.000050
993.337903,0.000012
995.266715,0.000011
997.195526,0.000078
999.124338,0.000048
1001.053149,0.000069
1002.981960,0.000116
1004.910772,0.000052
1006.839583,0.000084
1008.768395,0.000168
1010.697206,0.000226
1012.626018,0.000359
1014.554829,0.000467
1016.483641,0.000494
1018.412452,0.000525
1020.341264,0.000616
1022.270075,0.000647
1024.198887,0.000572
1026.127698,0.000635
1028.056509,0.000846
1029.985321,0.001002
1031.914132,0.001165
1033.842944,0.001406
1035.771755,0.001591
1037.700567,0.001674
1039.629378,0.001689
1041.558190,0.001601
1043.487001,0.001394
1045.415813,0.001145
1047.344624,0.000970
1049.273436,0.000775
1051.202247,0.000549
1053.131058,0.000508
1055.059870,0.000494
1056.988681,0.000363
1058.917493,0.000279
1060.846304,0.000211
1062.775116,0.000195
1064.703927,0.000150
1066.632739,0.000022
1068.561550,-0.000032
1070.490362,0.000043
1072.419173,0.000166
1074.347985,0.000276
1076.276796,0.000349
1078.205607,0.000386
1080.134419,0.000356
1082.063230,0.000264
1083.992042,0.000172
1085.920853,0.000187
1087.849665,0.000301
1089.778476,0.000289
1091.707288,0.000186
1093.636099,0.000204
1095.564911,0.000230
1097.493722,0.000187
1099.422534,0.000176
1101.351345,0.000183
1103.280156,0.000161
1105.208968,0.000118
1107.137779,0.000054
1109.066591,-0.000052
1110.995402,-0.000089
1112.924214,-0.000019
1114.853025,-0.000006
1116.781837,-0.000003
1118.710648,0.000016
1120.639460,-0.000071
1122.568271,-0.000128
1124.497083,-0.000055
1126.425894,-0.000003
1128.354706,-0.000053
1130.283517,-0.000098
1132.212328,-0.000126
1134.141140,-0.000204
1136.069951,-0.000240
1137.998763,-0.000242
1139.927574,-0.000252
1141.856386,-0.000197
1143.785197,-0.000083
1145.714009,-0.000082
1147.642820,-0.000113
1149.571632,-0.000015
1151.500443,0.000161
1153.429255,0.000349
1155.358066,0.000486
1157.286877,0.000556
1159.215689,0.000685
1161.144500,0.000786
1163.073312,0.000809
1165.002123,0.000942
1166.930935,0.001165
1168.859746,0.001316
1170.788558,0.001396
1172.717369,0.001427
1174.646181,0.001458
1176.574992,0.001661
1178.503804,0.002006
1180.432615,0.002282
1182.361426,0.002403
1184.290238,0.002515
1186.219049,0.002742
1188.147861,0.002978
1190.076672,0.003316
1192.005484,0.003709
1193.934295,0.003859
1195.863107,0.003893
1197.791918,0.003886
1199.720730,0.003726
1201.649541,0.003710
1203.578353,0.003949
1205.507164,0.004126
1207.435975,0.004236
1209.364787,0.004566
1211.293598,0.005095
1213.222410,0.005545
1215.151221,0.006205
1217.080033,0.007083
1219.008844,0.007710
1220.937656,0.008741
1222.866467,0.009974
1224.795279,0.010952
1226.724090,0.012839
1228.652902,0.015191
1230.581713,0.017799
1232.510524,0.021717
1234.439336,0.026401
1236.368147,0.032847
1238.296959,0.042670
1240.225770,0.055785
1242.154582,0.074547
1244.083393,0.101615
1246.012205,0.136172
1247.941016,0.176393
1249.869828,0.217315
1251.798639,0.249727
1253.727451,0.264479
1255.656262,0.259984
1257.585073,0.258348
1259.513885,0.281583
1261.442696,0.303482
1263.371508,0.285599
1265.300319,0.257938
1267.229131,0.261224
1269.157942,0.282222
1271.086754,0.283552
1273.015565,0.250968
1274.944377,0.197601
1276.873188,0.144556
1278.802000,0.105537
1280.730811,0.081572
1282.659622,0.066557
1284.588434,0.056390
1286.517245,0.050073
1288.446057,0.045428
1290.374868,0.041728
1292.303680,0.039223
1294.232491,0.036744
1296.161303,0.034665
1298.090114,0.033715
1300.018926,0.033667
1301.947737,0.033598
1303.876549,0.032936
1305.805360,0.032784
1307.734172,0.033680
1309.662983,0.034770
1311.591794,0.034878
1313.520606,0.034047
1315.449417,0.032334
1317.378229,0.029827
1319.307040,0.027153
1321.235852,0.024548
1323.164663,0.025355
1325.093475,0.027097
1327.022286,0.022770
1328.951098,0.018244
1330.879909,0.017989
1332.808721,0.017718
1334.737532,0.017530
1336.666343,0.017482
1338.595155,0.016754
1340.523966,0.016272
1342.452778,0.015127
1344.381589,0.012831
1346.310401,0.010183
1348.239212,0.007812
1350.168024,0.005849
1352.096835,0.004226
1354.025647,0.003105
1355.954458,0.002487
1357.883270,0.001876
1359.812081,0.000783
1361.740892,-0.000392
1363.669704,-0.000209
1365.598515,0.000723
1367.527327,0.000798
1369.456138,0.000770
1371.384950,0.000775
1373.313761,-0.000013
1375.242573,-0.000079
1377.171384,0.000889
1379.100196,0.001318
1381.029007,0.001377
1382.957819,0.001579
1384.886630,0.001233
1386.815441,0.000541
1388.744253,0.001175
1390.673064,0.002174
1392.601876,0.001263
1394.530687,0.000076
1396.459499,0.000385
1398.388310,0.000613
1400.317122,0.001557
1402.245933,0.002769
1404.174745,0.002434
1406.103556,0.002488
1408.032368,0.003358
1409.961179,0.003682
1411.889990,0.003804
1413.818802,0.004099
1415.747613,0.003694
1417.676425,0.001692
1419.605236,0.001448
1421.534048,0.003883
1423.462859,0.005066
1425.391671,0.005766
1427.320482,0.006311
1429.249294,0.005719
1431.178105,0.006212
1433.106917,0.007009
1435.035728,0.005070
1436.964539,0.004021
1438.893351,0.006927
1440.822162,0.008822
1442.750974,0.009070
1444.679785,0.009020
1446.608597,0.008345
1448.537408,0.008395
1450.466220,0.009094
1452.395031,0.009079
1454.323843,0.006894
1456.252654,0.002511
1458.181466,0.003316
1460.110277,0.008584
1462.039089,0.010325
1463.967900,0.008902
1465.896711,0.009145
1467.825523,0.011007
1469.754334,0.009836
1471.683146,0.006267
1473.611957,0.005997
1475.540769,0.008449
1477.469580,0.010566
1479.398392,0.011657
1481.327203,0.011883
1483.256015,0.012044
1485.184826,0.011297
1487.113638,0.009379
1489.042449,0.007850
1490.971260,0.008715
1492.900072,0.010474
1494.828883,0.009340
1496.757695,0.007211
1498.686506,0.007913
1500.615318,0.009623
1502.544129,0.009642
1504.472941,0.005018
1506.401752,-0.000782
1508.330564,0.002153
1510.259375,0.006407
1512.188187,0.007653
1514.116998,0.007142
1516.045809,0.005257
1517.974621,0.004138
1519.903432,0.002534
1521.832244,0.001538
1523.761055,0.003978
1525.689867,0.005477
1527.618678,0.006536
1529.547490,0.008286
1531.476301,0.007278
1533.405113,0.005572
1535.333924,0.007162
1537.262736,0.006020
1539.191547,0.000422
1541.120358,0.000843
1543.049170,0.005336
1544.977981,0.009421
1546.906793,0.012808
1548.835604,0.014559
1550.764416,0.016244
1552.693227,0.017741
1554.622039,0.019612
1556.550850,0.020448
1558.479662,0.021946
1560.408473,0.036869
1562.337285,0.054562
1564.266096,0.070142
1566.194907,0.088851
1568.123719,0.109912
1570.052530,0.140576
1571.981342,0.180504
1573.910153,0.221063
1575.838965,0.276363
1577.767776,0.347491
1579.696588,0.419038
1581.625399,0.496470
1583.554211,0.574211
1585.483022,0.653392
1587.411834,0.741810
1589.340645,0.838662
1591.269456,0.942904
1593.198268,1.036383
1595.127079,1.093946
1597.055891,1.107097
1598.984702,1.097041
1600.913514,1.062957
1602.842325,1.022114
1604.771137,0.996028
1606.699948,0.970762
1608.628760,0.944051
1610.557571,0.882779
1612.486383,0.802715
1614.415194,0.712167
1616.344005,0.633351
1618.272817,0.719804
1620.201628,0.988153
1622.130440,1.266563
1624.059251,1.402766
1625.988063,1.503187
1627.916874,1.575318
1629.845686,1.563861
1631.774497,1.431127
1633.703309,1.246467
1635.632120,1.023273
1637.560932,0.849335
1639.489743,0.713681
1641.418555,0.567370
1643.347366,0.433149
1645.276177,0.316296
1647.204989,0.207655
1649.133800,0.135014
1651.062612,0.084078
1652.991423,0.036594
1654.920235,0.018665
1656.849046,0.015221
1658.777858,0.009418
1660.706669,0.004121
1662.635481,0.000446
1664.564292,0.000800
1666.493104,0.001367
1668.421915,-0.000694
1670.350726,0.000889
1672.279538,0.005014
1674.208349,0.007476
1676.137161,0.012302
1678.065972,0.019200
1679.994784,0.023951
1681.923595,0.025393
1683.852407,0.025928
1685.781218,0.031654
1687.710030,0.036836
1689.638841,0.037373
1691.567653,0.037188
1693.496464,0.032952
1695.425275,0.032794
1697.354087,0.049056
1699.282898,0.052664
1701.211710,0.036979
1703.140521,0.035695
1705.069333,0.044147
1706.998144,0.052951
1708.926956,0.064478
1710.855767,0.077363
1712.784579,0.084177
1714.713390,0.084753
1716.642202,0.086823
1718.571013,0.093913
1720.499824,0.103041
1722.428636,0.110598
1724.357447,0.118227
1726.286259,0.127158
1728.215070,0.138046
1730.143882,0.152899
1732.072693,0.168313
1734.001505,0.192473
1735.930316,0.225249
1737.859128,0.250135
1739.787939,0.270023
1741.716751,0.284571
1743.645562,0.290243
1745.574373,0.287597
1747.503185,0.280492
1749.431996,0.274539
1751.360808,0.274725
1753.289619,0.278728
1755.218431,0.279070
1757.147242,0.273134
1759.076054,0.256995
1761.004865,0.223793
1762.933677,0.180611
1764.862488,0.143388
1766.791300,0.108249
1768.720111,0.077209
1770.648922,0.053918
1772.577734,0.036276
1774.506545,0.027336
1776.435357,0.022138
1778.364168,0.017397
1780.292980,0.014411
1782.221791,0.013289
1784.150603,0.012795
1786.079414,0.012798
1788.008226,0.013557
1789.937037,0.012359
1791.865849,0.009815
1793.794660,0.009980
1795.723471,0.011234
1797.652283,0.010659
1799.581094,0.008728
1801.509906,0.007809
1803.438717,0.008669
1805.367529,0.009363
1807.296340,0.008841
1809.225152,0.007700
1811.153963,0.007123
1813.082775,0.007601
1815.011586,0.008109
1816.940398,0.008309
1818.869209,0.008557
1820.798021,0.008749
1822.726832,0.008276
1824.655643,0.007721
1826.584455,0.008207
1828.513266,0.008289
1830.442078,0.008395
1832.370889,0.010080
1834.299701,0.011587
1836.228512,0.012321
1838.157324,0.013030
1840.086135,0.013513
1842.014947,0.012934
1843.943758,0.011861
1845.872570,0.012330
1847.801381,0.013142
1849.730192,0.013132
1851.659004,0.012983
1853.587815,0.012593
1855.516627,0.011992
1857.445438,0.011232
1859.374250,0.010403
1861.303061,0.009325
1863.231873,0.007917
1865.160684,0.005854
1867.089496,0.002665
1869.018307,0.000266
1870.947119,-0.000418
1872.875930,0.002550
1874.804741,0.007815
1876.733553,0.005794
1878.662364,0.000041
1880.591176,0.000413
1882.519987,0.003337
1884.448799,0.005840
1886.377610,0.008464
1888.306422,0.010258
1890.235233,0.012278
1892.164045,0.014470
1894.092856,0.016135
1896.021668,0.017518
1897.950479,0.018666
1899.879290,0.019492
1901.808102,0.019908
1903.736913,0.020130
1905.665725,0.020045
1907.594536,0.019575
1909.523348,0.018997
1911.452159,0.018419
1913.380971,0.017697
1915.309782,0.016090
1917.238594,0.013901
1919.167405,0.012978
1921.096217,0.012641
1923.025028,0.011516
1924.953839,0.010479
1926.882651,0.009504
1928.811462,0.008229
1930.740274,0.007042
1932.669085,0.005946
1934.597897,0.004908
1936.526708,0.003963
1938.455520,0.003153
1940.384331,0.002034
1942.313143,0.000929
1944.241954,0.000743
1946.170766,0.000825
1948.099577,0.000625
1950.028388,0.000389
1951.957200,0.000191
1953.886011,0.000053
1955.814823,0.000012
1957.743634,0.000031
1959.672446,-0.000004
1961.601257,0.000020
1963.530069,0.000065
1965.458880,-0.000102
1967.387692,-0.000275
1969.316503,-0.000109
1971.245315,0.000030
1973.174126,0.000068
1975.102938,0.000112
1977.031749,0.000053
1978.960560,0.000018
1980.889372,0.000062
1982.818183,0.000036
1984.746995,-0.000082
1986.675806,-0.000190
1988.604618,-0.000271
1990.533429,-0.000461
1992.462241,-0.000470
1994.391052,-0.000178
1996.319864,-0.000076
1998.248675,-0.000090
2000.177487,0.000040
2002.106298,0.000071
2004.035109,-0.000024
2005.963921,-0.000055
2007.892732,-0.000069
2009.821544,-0.000077
2011.750355,-0.000008
2013.679167,-0.000047
2015.607978,-0.000298
2017.536790,-0.000460
2019.465601,-0.000368
2021.394413,-0.000238
2023.323224,-0.000191
2025.252036,-0.000155
2027.180847,-0.000131
2029.109658,-0.000164
2031.038470,-0.000193
2032.967281,-0.000161
2034.896093,-0.000142
2036.824904,-0.000179
2038.753716,-0.000182
2040.682527,-0.000137
2042.611339,-0.000138
2044.540150,-0.000195
2046.468962,-0.000197
2048.397773,-0.000171
2050.326585,-0.000242
2052.255396,-0.000276
2054.184207,-0.000176
2056.113019,-0.000166
2058.041830,-0.000264
2059.970642,-0.000280
2061.899453,-0.000285
2063.828265,-0.000398
2065.757076,-0.000481
2067.685888,-0.000422
2069.614699,-0.000300
2071.543511,-0.000226
2073.472322,-0.000263
2075.401134,-0.000346
2077.329945,-0.000378
2079.258756,-0.000338
2081.187568,-0.000267
2083.116379,-0.000243
2085.045191,-0.000248
2086.974002,-0.000261
2088.902814,-0.000312
2090.831625,-0.000353
2092.760437,-0.000369
2094.689248,-0.000396
2096.618060,-0.000387
2098.546871,-0.000311
2100.475683,-0.000267
2102.404494,-0.000253
2104.333305,-0.000218
2106.262117,-0.000245
2108.190928,-0.000299
2110.119740,-0.000280
2112.048551,-0.000239
2113.977363,-0.000209
2115.906174,-0.000187
2117.834986,-0.000171
2119.763797,-0.000082
2121.692609,-0.000002
2123.621420,-0.000074
2125.550232,-0.000168
2127.479043,-0.000176
2129.407854,-0.000141
2131.336666,-0.000129
2133.265477,-0.000185
2135.194289,-0.000245
2137.123100,-0.000258
2139.051912,-0.000246
2140.980723,-0.000271
2142.909535,-0.000315
2144.838346,-0.000306
2146.767158,-0.000295
2148.695969,-0.000292
2150.624781,-0.000279
2152.553592,-0.000275
2154.482404,-0.000234
2156.411215,-0.000130
2158.340026,-0.000031
2160.268838,-0.000041
2162.197649,-0.000123
2164.126461,-0.000124
2166.055272,-0.000061
2167.984084,-0.000044
2169.912895,-0.000069
2171.841707,-0.000039
2173.770518,0.000049
2175.699330,0.000074
2177.628141,0.000052
2179.556953,0.000078
2181.485764,0.000127
2183.414575,0.000163
2185.343387,0.000162
2187.272198,0.000154
2189.201010,0.000215
2191.129821,0.000314
2193.058633,0.000437
2194.987444,0.000550
2196.916256,0.000595
2198.845067,0.000704
2200.773879,0.000909
2202.702690,0.001012
2204.631502,0.001041
2206.560313,0.001159
2208.489124,0.001266
2210.417936,0.001275
2212.346747,0.001249
2214.275559,0.001171
2216.204370,0.001023
2218.133182,0.000821
2220.061993,0.000561
2221.990805,0.000329
2223.919616,0.000294
2225.848428,0.000519
2227.777239,0.000900
2229.706051,0.001263
2231.634862,0.001509
2233.563673,0.001676
2235.492485,0.001797
2237.421296,0.001839
2239.350108,0.001748
2241.278919,0.001545
2243.207731,0.001315
2245.136542,0.001042
2247.065354,0.000771
2248.994165,0.000576
2250.922977,0.000364
2252.851788,0.000130
2254.780600,0.000012
2256.709411,0.000026
2258.638222,0.000039
2260.567034,0.000028
2262.495845,0.000073
2264.424657,0.000136
2266.353468,0.000152
2268.282280,0.000165
2270.211091,0.000222
2272.139903,0.000276
2274.068714,0.000269
2275.997526,0.000243
2277.926337,0.000295
2279.855149,0.000351
2281.783960,0.000292
2283.712771,0.000274
2285.641583,0.000358
2287.570394,0.000366
2289.499206,0.000327
2291.428017,0.000294
2293.356829,0.000197
2295.285640,0.000209
2297.214452,0.000466
2299.143263,0.000637
2301.072075,0.000550
2303.000886,0.000508
2304.929698,0.000613
2306.858509,0.000710
2308.787320,0.000773
2310.716132,0.000847
2312.644943,0.000902
2314.573755,0.000900
2316.502566,0.000838
2318.431378,0.000725
2320.360189,0.000637
2322.289001,0.000581
2324.217812,0.000522
2326.146624,0.000517
2328.075435,0.000515
2330.004247,0.000398
2331.933058,0.000236
2333.861870,0.000192
2335.790681,0.000153
2337.719492,0.000053
2339.648304,0.000013
2341.577115,-0.000023
2343.505927,-0.000002
2345.434738,0.000122
2347.363550,0.000213
2349.292361,0.000204
2351.221173,0.000035
2353.149984,-0.000189
2355.078796,-0.000236
2357.007607,-0.000218
